,thiolutin,benomyl(1),37C,16C(2),bleomycin,high pH(1),benomyl,rapamycin(1),23C(1),high pH,bleomycin(1),low pH,16C,4-nitroquinoline-N-oxide,20C,hydroxyurea,fluconazole,4NQO-0.6(1),rapamycin,DMSO(1),low glucose,4NQO-0.4(1),high salt,23C(2),4NQO-0.6(2),glycerol,cycloheximide,high pH(2),thiolutin(1),bleomycin(2),DMSO(2),23C,16C(1),benomyl(2),H2O,raffinose,DMSO,rapamycin(2)
A29,0.286700980773,,10.6771476519,,,1.69433803104,,,2.72570098361,,,11.2399342866,,,,,,,,2.33666568051,3.0911975264,,,3.18621027224,,2.93673473691,7.22332487898,1.06265720125,2.01578579981,12.3058202971,1.16492230829,5.73751123389,,,5.43756640461,,2.91422969244,
A3,,17.9789335222,,6.71278962385,3.36900648806,4.73733111712,,,6.3466462964,3.24527100153,,,,,6.06146185806,7.00549551616,,,5.70581808396,7.2423771957,1.70455501006,12.7703677254,1.01699216891,9.05094991886,,2.27322445129,11.9215826124,,,7.19305173695,7.74341352566,4.56672157373,2.87255327164,21.186127411,4.1965452568,2.14493442521,4.10029031147,4.25898488855
A30,,,17.4285229197,4.64062004645,,7.89668180144,,,4.07859815692,,,10.6062852266,,,5.95154128973,,2.53059111531,,1.06080711814,3.3026400738,7.71963343883,,3.1045393803,0.748206306513,,1.32320004146,2.4848363819,4.19689407748,6.79338221531,,0.862669128925,4.81029795621,2.1176353,,2.76244338694,2.98717260567,3.96281039007,
A31,3.30195167371,6.08522211575,4.10397093673,9.97990020721,,,0.693539356918,,1.93409367962,,,2.95238002923,9.06730140269,,2.5858574202,5.02153403873,1.30910534336,,0.767787704074,4.01122648509,1.01151209492,,4.33301416351,0.957806055224,,0.46831175174,1.98921468395,6.64509454472,1.61458093102,3.48367921638,3.0836305669,0.890437305791,7.25558212213,5.23117132793,0.935924294617,0.618411508231,3.55811930985,
A32,,,11.5023444475,,,,,,6.30435852651,,,,3.98153010109,,4.44007423552,1.90489632275,1.50831941478,,1.88077995756,4.43647055961,0.82589257352,12.839195924,6.93110316315,8.45867820736,,2.98897798938,,,4.71609761322,,4.90977925013,3.69965710799,,,2.55236353882,2.12954954343,3.1269935181,
A33,2.19632793424,6.65387205177,6.36512706047,10.0509061178,,1.08208941877,,,0.77456631371,5.29732813993,,1.76795436081,7.280942303,,5.2991172475,,2.08703570018,,1.17833107095,1.01520485406,0.61001015908,7.14591273989,1.21359486367,3.14742981722,,2.91389400163,15.7823315789,9.87772766336,3.684874581,0.327505941525,3.80647291624,4.96713442395,3.38324919176,5.32401615237,0.3041966513,1.01386669766,1.79343939996,
A34,,,10.206685311,7.84406011672,,4.04881472359,,,1.39405088288,,,10.1795800916,,,16.4431138298,4.87330488103,6.49855859706,,,6.138010324,1.57195897225,14.4922572253,7.35351040387,4.61108019447,,3.86125514344,,7.35552930671,9.70452433663,,0.6405927521,6.8352027228,,,1.71493058322,4.75466050398,4.50184248567,
A35,,,10.7362132735,,,,,,7.22519480715,2.18083340992,,1.03994746648,3.85945770732,,6.32847703473,2.62390802455,2.80468313131,,,2.06621616716,4.21467747714,,,6.04256334957,,1.60613312161,,8.59363908746,13.2226050267,,2.26509005945,3.29983135782,10.4728113811,,0.920065944601,2.79559719168,1.60590118882,
A36,1.92987864612,,,2.00674430471,,3.08221706962,,,0.966531750632,3.86161094045,,1.16990819643,6.16414861047,,3.25275984024,3.71614390655,1.5813532544,,,0.640015527675,0.680860175478,16.4290994219,2.4603063479,2.48512844844,,8.22722924572,11.3415652302,1.41281248994,4.62131430164,,1.90091670398,1.98482748191,2.52408347875,,0.740149062296,1.8709002167,1.19867250697,
A37,6.08687491699,,6.39557488363,3.59734188383,,2.47040809604,,3.39193580156,2.45333593127,5.95318969553,,1.19157816515,1.2035740195,10.9550158845,3.35906027642,8.35115833021,2.4450763626,,1.08033160309,2.05933247108,1.425618975,2.11340013204,4.00444724774,1.43332634146,,4.30536438415,4.10521846637,3.74570043224,7.1977669616,3.02517866444,1.01060895999,1.97803091893,4.59441877727,0.692773298853,0.605751166743,0.528585320341,2.16652866069,2.21142890639
A38,7.32244297301,,4.01091480019,,,0.585519226334,,,1.43118552504,,,,,,7.7241337733,1.7231857347,6.60551866596,,1.03896020553,1.60882497807,4.15667217815,,2.50617153372,5.20903877185,,5.89050840341,2.69890185897,,2.48304394995,5.66491985323,1.22310560519,4.17728848604,11.5495192284,,2.43683642245,2.38416334728,3.42136878331,
A4,,4.29167580917,0.698759527715,0.552444646632,1.18917290861,0.898371539352,,1.29867082271,3.45150594957,3.17702586393,1.38350958832,0.579224778332,1.14694354991,,5.75595150476,4.89226107971,,,2.02863826389,5.68832653263,4.75110694694,,4.88965133331,4.38932114344,,5.44628835521,3.98838965954,7.03735955485,10.1993166681,2.71777142939,3.75208900243,6.47966654137,2.49672915167,5.81066140792,2.81932390511,2.60241038825,4.74191474127,0.456882142385
A5,,3.61042487651,7.0739680396,1.5463649683,1.51144088351,1.45719026849,,0.735828044316,8.51292308609,1.22593917997,2.47518172545,,1.04543582273,,11.3955607485,5.7484124977,0.478344989428,,3.67019685591,6.98558904272,9.58485159792,7.95900967754,7.32382007185,2.88200818534,,10.4078637865,6.47274775777,7.15495303089,20.3819253127,1.64699321422,4.36521387597,5.47445581472,,7.75974857398,4.59319732042,3.61904347648,6.2681533864,0.732083140436
A6,,,,2.04063620623,,4.46617989297,,,2.67985568691,1.4778987784,,3.20101519381,3.1435274923,,1.03218377448,6.29756070794,,,1.00853255853,6.32968484764,0.678887795334,,2.36305261806,2.9236573419,,3.08320766935,,,,,4.44870354646,6.29510032394,2.00256669634,,4.57803375814,3.19177968991,7.24153894903,
A7,,6.78166332466,9.8721502442,4.05092911142,,,1.034884357,,0.711335120328,2.10227182042,,,,,3.00491976024,,0.672345005121,,,5.95118610021,1.15126935309,7.83287025833,,5.95152111299,,6.45365987612,,,7.05089856017,2.71198099696,6.27675681718,9.39547892902,1.94488599277,5.02444465883,,,6.57311277322,
A8,,4.99441617428,10.6170148096,2.5241072651,1.17824628239,22.8985360153,,3.07153158423,14.3984909021,,4.7652795818,,,,10.2680160447,7.98061179423,,,0.629491475616,9.31476623097,9.68466832515,,4.27705847829,7.18110601745,,8.49523765049,1.00480615016,,2.89240773733,2.69413225422,5.83953545733,6.11432169945,3.56503577393,2.11074668872,5.44433227135,5.63426744703,6.58074688876,1.62577086363
A9,1.47603461354,9.38215415655,5.08506961872,6.55483406632,,,,,9.53340829426,5.22648327722,,1.89275560708,8.63490983037,4.40598092873,11.4632785197,,,,,7.34601854095,4.64869488051,10.6207851751,3.93416877149,5.99415881406,,2.57412756929,,,16.3928578782,4.69465519277,6.93548240554,5.42227879039,,2.6756623709,3.43732982598,1.57529525086,7.61926426785,
RLY4891,1.760892937,0.608974088673,,,,,,,1.11859001671,,,4.10477777401,5.47258378257,10.1191494647,5.92030624319,1.83705302625,4.79791287611,,0.641117734265,5.1180798011,2.26473647781,3.96814389976,1.15089577768,5.59334816981,11.3650829036,0.757022042168,10.0555327025,,3.61638687725,,4.70110383788,8.29582308791,,0.726800205358,4.83245224217,3.04414093804,7.61772609156,
U1,3.56811012728,7.76031292109,1.76182309981,1.47293739532,7.46641280953,0.358246330792,,4.01515501865,4.03999514822,5.08222634572,,1.14536325787,11.3233778664,16.6829694499,1.7428869906,1.6293772019,2.60970812852,4.77538925477,1.25879330098,3.93628668793,0.363584783184,1.52434677416,3.12280137276,5.17153555745,1.37138530151,4.19923238105,0.859212916066,0.889976587206,2.70925642782,2.35666436009,3.92099591894,2.56476455869,0.871703432263,2.05220456769,2.00495286916,16.3771551664,2.27819665658,1.41959417932
U2,4.77157992683,,0.800415854303,7.68777518149,0.912543763381,3.45435086517,,1.97277088061,0.505250003832,,0.903044362215,6.93842965911,9.59429481549,11.1731908878,5.28953564701,4.08903286863,4.53438329578,,1.37019081394,3.6877042601,2.31435090272,6.67977389337,3.55340627152,3.52783430247,,4.14101472181,3.59316653478,6.74059156631,4.42238470769,8.92315270208,1.91234561819,5.00667450268,10.5806456273,,3.03088815835,0.284846623385,2.81939492005,1.22840523579
U3,3.80125224409,,4.65778928467,,,4.81894842919,,,9.2254881123,,,3.35788487897,,,3.12293500667,4.62164812579,5.78553737153,,1.02511914978,5.84358465755,10.2951982159,,1.38923807604,6.67925811,,8.88907059339,4.64636812529,,6.11936833942,,2.4357487599,3.34724850779,,,2.65008502366,6.40380988834,3.85966922804,0.0749511189672
controlDiploid,1.37089713299,,0.771999524179,2.44813824824,0.650628575166,0.381020092936,,0.715517654018,0.16404908793,,,2.29429368856,,5.715836236,7.52680300291,2.57332437977,,,1.35876323388,0.404582986566,0.689032442126,8.35931787328,2.39346514496,1.3843288156,,0.196782491868,3.9414393097,8.57038930894,1.75090301477,7.20763594252,0.999259309447,0.885208739733,7.61804861768,,0.787930666206,4.27820902779,0.927784580236,1.0727664794
controlHaploid,5.67679036556,15.4166809304,1.46347864997,1.90609592385,2.24364635919,5.64028806942,0.872408083831,,1.68923440389,7.24453605722,,0.871434774488,10.8352971791,10.8839113385,2.15719133817,1.49064782118,4.86877682744,3.43400409892,1.58039084504,0.628381860248,4.2020948227,6.40654052315,3.25817969387,0.880841992201,2.11799112167,1.6911453461,2.96022087206,17.803737681,1.29968866751,1.2422463652,1.28454496865,1.40545537767,7.41840214045,4.4437142627,1.49850724621,2.52484391662,0.326061840164,2.63905262457
controlTriploid,2.39163903266,,1.38945001673,,,2.11005032232,,,0.168202207684,,,2.45377478999,8.43927796735,,5.12710277414,7.49238211842,5.6822332231,,1.47736753512,1.00932909114,1.50666487602,,2.32618707539,1.05919652941,,1.69262515438,9.28517025518,,0.61945675935,,2.98890281602,0.781426971797,6.17977903827,,0.623809610218,1.94686935903,1.9228965869,
