,thiolutin,benomyl(1),37C,16C(2),bleomycin,high pH(1),benomyl,rapamycin(1),23C(1),high pH,bleomycin(1),low pH,16C,4-nitroquinoline-N-oxide,20C,hydroxyurea,fluconazole,4NQO-0.6(1),rapamycin,DMSO(1),low glucose,4NQO-0.4(1),high salt,23C(2),4NQO-0.6(2),glycerol,cycloheximide,high pH(2),thiolutin(1),bleomycin(2),DMSO(2),23C,16C(1),benomyl(2),H2O,raffinose,DMSO,rapamycin(2)
A35,,,32.2192197982,,,,,,50.0303153808,33.7886621131,,38.8158205633,9.0839728949,,42.9819277543,14.3055652898,8.59412343751,,,53.6861601015,21.3266703869,,,46.2429387623,,22.7988403415,,24.3116962221,34.5490796374,,51.1893786299,50.6542445055,24.1476245896,,53.2418105035,32.2354060024,52.8225324254,
A36,32.4936264049,,,50.7357905238,,51.0222626976,,,57.3436174027,19.921184183,,43.1286454446,47.2221287113,,46.387934243,21.5739035582,17.2757423056,,,58.1364105585,28.4398743501,40.54786681,13.7397751577,52.4956333268,,21.8136285932,47.227378524,35.959364443,45.3264423095,,54.513130994,53.5461775695,49.3397550618,,54.4075442548,38.9386690888,55.4636104953,
A37,13.5033807434,,48.6491000246,49.5027548604,,47.0633056644,,7.1750363959,54.0575726326,33.0929116552,,39.8069538495,53.0213160099,38.4869918715,48.8706969973,36.4416780671,32.2829768992,,12.0479730792,53.6629273629,28.1067559728,53.5674478703,23.6547427876,49.2024918342,,26.4305288433,49.5634434792,29.4700089647,41.8571011837,51.445480958,50.7632624624,51.7926532646,52.2592425715,2.2697836665,53.9798643194,41.0606064594,52.2712203283,5.7437379464
A38,16.4712864181,,32.2078943978,,,41.0565700572,,,49.773680891,,,,,,46.1375518542,12.0792127261,23.0607294975,,4.61443856573,51.4107544147,22.3759355483,,29.1802831153,46.0935444245,,27.0692575269,40.9273406678,,43.0331875371,36.1303188461,47.3704677575,49.8653955934,23.6284419877,,51.9413156851,37.9974886874,50.1997030169,
A4,,45.8844082642,44.0566198103,9.1782196518,43.8377958767,56.901291334,,2.69592934275,53.2016070582,23.8864256,48.8939424144,5.72944686154,2.33660319556,,35.9896562805,40.7625192904,,,7.38705934323,55.0460288412,26.7418671889,,20.6942130124,51.4999987895,,19.8537273186,27.6572531045,35.5720782834,40.5334159714,54.5550574614,50.724425011,54.3137500753,7.48953633676,45.7207350631,54.5380273614,43.4224682902,53.2624996543,3.19260878877
A5,,48.0484224787,43.319760278,10.3799719185,44.6142466006,59.864049702,,3.20938492671,57.7771648512,36.0913877796,50.2464102698,,2.42115883531,,38.5103514212,39.1593780448,2.20732484762,,8.26082795805,55.5170556893,27.6281431234,34.3176419821,26.0381210323,51.5730762184,,21.1859651925,32.2334171935,42.6340845923,41.3792375114,56.3924788624,51.5594572417,53.5704008987,,48.5657366119,55.1881256059,45.511009751,54.6284066681,3.98307402005
A6,,,,8.08653492875,,16.8407406585,,,42.747452741,4.61695505438,,13.8817891554,7.03142122296,,14.8489986426,13.0835871685,,,2.57619103901,42.9697027286,10.565062262,,7.04167037426,32.3965382567,,11.9317980024,,,,,33.6439071859,36.1253845157,5.92050392622,,40.7549674509,21.7278640516,40.4618173988,
A7,,44.9162972756,36.2933389512,16.3381193633,,,2.59382153729,,38.5038836153,5.00466553125,,,,,16.3477281142,,14.5804204906,,,46.7205317597,3.90997095583,37.1607199602,,33.4935051945,,19.7168188745,,,20.8076417118,55.0087717943,37.7130303937,24.9175177454,14.3532654922,48.3901694732,,,43.6950200363,
A8,,55.0020225473,41.4732421903,6.76254617173,57.5481662989,51.7480679093,,6.54143512286,59.1695710597,,63.3022524214,,,,33.9098805721,21.5521319971,,,11.2801291172,57.088130796,24.1049393842,,31.7423953864,53.0974819504,,17.3428711482,18.2685898974,,32.8875744009,59.9496165236,52.0859050874,54.0573190487,7.24673326586,54.8425777141,53.1029644995,44.8963465701,55.4673503612,3.90736512895
A9,5.03851611688,47.6364123799,47.5568854017,21.9387367176,,,,,60.0025282538,46.9371556291,,38.8618008561,43.8792687832,61.0314968775,40.2694305843,,,,,56.7089010727,20.5485475699,42.3052433748,21.8437720198,55.0661443665,,16.8534566957,,,41.8108085085,68.9201558177,54.3311918744,52.8931146381,,57.6825859963,56.3394706867,40.5600492613,54.418742937,
RLY4891,35.6116189116,2.46981554651,,,,,,,56.2172456349,,,41.2867398199,44.0045290948,55.5570698592,46.3774259673,35.598846543,33.2979650083,,2.73879993576,57.6804660816,13.4972282983,57.372231917,17.8656104658,52.0869373596,49.2420453452,9.0357845801,44.6152768898,,54.6838353038,,54.6027466069,42.1423634091,,2.01710879293,40.4864764392,14.5382656277,43.4115622802,
U1,31.857312346,33.6430844561,57.8383158264,53.1225850813,45.1160548961,61.3712966886,,11.3929844724,61.7290307102,41.0006994437,,42.7337931717,38.6907730958,45.4096521597,52.0105172812,53.1189551022,26.4584390999,50.7798334457,14.3005950548,62.070386131,30.0227569053,63.4714283934,29.6000447267,57.8498255078,59.0420980133,23.0404117345,53.5244117436,50.5647776691,52.0075435161,59.1152583303,58.5860924795,57.1422530169,52.1486000254,44.8591533308,59.495272187,53.6615156963,58.7901353739,12.9156801374
U2,38.0172422347,,54.6163743106,30.3480281837,2.10799408149,43.9947449785,,4.18737045057,56.0991771274,,2.13502026184,45.9784155581,36.2938082389,25.4019951765,42.268397866,37.6586778773,17.2420389438,,7.80160688121,58.0613371897,26.697404551,52.9824396068,27.0152976225,54.5455723172,,30.5984598754,48.062668965,21.4693153819,51.0454025647,19.2830290626,56.2319381844,53.1640119254,38.1469816855,,54.5440941439,37.1271255548,54.6814474345,3.75870297783
U3,35.3068661112,,50.9727880358,,,40.75734263,,,56.1688906512,,,39.1932115833,,,40.5862971479,27.1619802891,13.2683681893,,5.84276160903,56.5595708644,23.3838335646,,26.467437745,49.3654055811,,26.8218571779,43.7836555467,,49.0943700881,,54.2693870964,50.8047013617,,,50.7749037263,33.1136875449,53.4672388743,2.82320408448
controlDiploid,38.1928945629,,56.860187624,39.0166083012,2.57673407707,37.8975592219,,2.760327861,55.8433134829,,,42.5994473419,,46.716068484,42.0401793375,43.9313093361,,,6.74198352175,57.5770362013,24.6595202865,45.1131514083,20.7824509354,54.6399853651,,31.1285997958,51.4441965068,19.2947375488,51.8250419779,43.7323845476,55.3519075456,54.942587991,30.1922400791,,55.1704611796,33.3716508489,55.7392787714,3.26871316208
controlHaploid,30.5594599913,38.0999289247,57.2758520533,55.7974564015,40.1180821294,58.4459229262,2.16571613994,,64.264797129,35.5519729706,,42.8082951371,41.0158096358,53.6087103689,53.3335721683,55.4896586672,28.2088499341,52.2072120009,12.4101605273,65.676047086,30.9463018546,61.3287051628,27.5710291836,60.02031178,59.0834714258,26.0518319178,56.3479306019,47.1340078753,56.1132486667,60.4159949861,63.4740561489,60.5298400027,48.7037591046,47.2540067352,60.567245635,42.9660143582,62.0780404431,10.5529210039
controlTriploid,37.7664871821,,57.9459639536,,,45.3500125009,,,59.0401853847,,,39.2309344332,40.1546969772,,40.6862142126,33.3699498091,13.7723433608,,7.08544390356,59.1640918235,26.7717707976,,21.927508867,50.6984582615,,35.2110312264,44.2549867763,,50.8605159783,,54.97214846,52.5155307919,35.9055900401,,53.9846177393,31.7089563343,56.4015715284,
